,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
64,eMonkeyz,S10,ES,38,21.1%,0.57,1630,-213,34:00,9.4,16.6,4.0,8.1,42.1,26.3,1.79,32.9,0.82,41.9,0.73,-0.4,-1075,0.24,18.1,30.8,1716,3.3,1.41,1.24
65,ESC Shane,S10,KR,79,49.4%,0.96,1717,-19,32:40,11.9,12.3,5.7,5.9,51.9,49.4,2.51,51.5,0.92,47.5,1.05,-0.2,-467,0.62,49.3,31.1,1849,3.4,1.32,1.51
66,eStar,S10,CN,81,45.7%,1.00,1771,-15,33:13,14.3,14.3,6.2,6.2,30.9,32.1,2.67,54.5,0.48,50.0,0.88,0.2,121,0.77,48.9,31.3,1968,3.8,1.52,1.74
67,Estoril Praia eSports,S10,PT,14,28.6%,0.65,1602,-223,31:15,11.4,17.4,4.0,7.5,35.7,35.7,1.93,38.8,0.71,35.7,0.93,-0.4,-1143,0.29,28.6,28.7,1688,3.0,1.20,1.15
68,eSuba,S10,CZ,86,70.9%,1.38,1857,180,30:59,18.4,13.3,7.8,3.9,57.0,75.6,2.53,57.8,1.36,69.2,1.01,0.9,1619,0.77,69.3,30.7,2155,3.1,1.25,1.18
69,EURONICS Gaming,S10,DE,56,50.0%,1.08,1741,4,33:17,14.9,13.8,6.0,5.9,64.3,55.4,2.48,52.3,0.98,53.6,0.95,0.4,537,0.50,47.0,30.6,2092,3.2,1.31,1.33
70,Evil Geniuses,S10,NA,60,48.3%,0.86,1717,-34,33:37,11.2,12.9,6.0,6.1,48.3,43.3,2.30,49.9,0.85,44.2,0.98,0.0,-499,0.57,46.1,31.7,1916,3.4,1.40,1.36
71,Evil Geniuses Academy,S10,NA,52,55.8%,1.04,1753,58,35:50,13.4,12.9,6.8,5.4,50.0,63.5,2.79,54.2,1.12,55.8,1.15,0.3,475,0.77,59.6,31.5,1933,3.1,1.23,1.37
72,EVOS Esports,S10,VN,89,53.9%,1.09,1824,36,31:31,15.1,13.9,6.3,5.7,40.4,39.3,2.09,46.2,0.76,45.5,0.99,-0.1,80,0.65,54.3,33.0,1928,3.5,1.42,1.50
73,Excel Esports,S10,EUW,36,41.7%,0.74,1720,-78,33:16,9.9,13.3,5.8,7.1,41.7,61.1,2.11,41.1,1.14,56.9,0.89,0.1,-219,0.47,38.2,32.3,1735,3.4,1.35,1.43
