Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	HERPG	HER%	DRA@15	TD@15	GD@15	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
Mirage Elyandra	S12	FR	4	25.0%	0.86	1741	-148	36:21	13.5	15.8	4.3	9.8	50.0	50.0	1.50	27.1	1.75	87.5	0.25	0.0	-1065	0.25	12.5	30.9	1895	3.0	1.18	1.46
Misfits Gaming	S12	EUW	5	60.0%	0.93	1818	54	32:05	11.4	12.2	7.2	4.2	40.0	40.0	2.00	40.0	1.40	70.0	0.80	0.0	-376	1.20	63.3	33.4	1778	3.0	1.29	1.40
Misfits Premier	S12	FR	4	50.0%	0.81	1793	33	35:36	13.5	16.8	7.0	6.5	50.0	75.0	1.75	41.3	1.00	50.0	0.50	0.3	969	1.00	50.0	31.2	2306	3.3	1.40	1.47
MnM Gaming	S12	EUW	5	40.0%	0.86	1713	-132	34:09	15.2	17.4	5.4	6.0	60.0	60.0	3.40	75.0	0.20	10.0	1.00	0.2	-949	0.60	40.0	29.4	2149	2.9	1.08	1.19
Mousesports	S12	DE	5	80.0%	1.38	1879	202	33:27	14.6	10.6	9.0	4.0	60.0	40.0	2.60	66.0	1.40	70.0	0.60	0.0	786	0.80	80.0	34.1	2169	3.4	1.14	1.38
Movistar Riders	S12	ES	5	60.0%	1.14	1807	-12	34:38	17.8	15.6	6.6	6.6	40.0	40.0	2.40	51.0	1.00	50.0	0.60	-0.2	-1238	1.00	60.0	30.7	2186	3.2	1.33	1.52
NASR eSports Turkey	S12	TR	2	0.0%	0.43	1619	-293	33:51	6.5	15.0	3.0	9.5	50.0	50.0	1.50	43.3	1.00	50.0	0.50	0.0	45	0.00	0.0	33.0	1499	3.2	1.30	1.30
NASR eSports Turkey Academy	S12	TR	2	50.0%	1.18	1853	186	33:01	13.0	11.0	9.5	5.0	50.0	50.0	2.00	33.9	1.50	75.0	1.00	0.5	1063	1.00	66.7	30.0	1923	3.2	1.01	1.48
Netshoes Miners	S12	BR	2	100.0%	1.91	1908	194	40:50	21.0	11.0	9.5	6.5	50.0	50.0	3.50	70.8	1.50	75.0	1.00	0.0	-689	1.50	66.7	33.6	2218	3.6	1.61	1.65
Nexus KTRL	S12	RS	3	66.7%	2.00	1826	174	35:01	20.7	10.3	7.0	5.3	33.3	-	3.67	67.6	0.67	50.0	1.67	0.0	186	1.00	83.3	30.2	2228	2.6	0.87	1.18
Nongshim RedForce	S12	KR	11	63.6%	1.28	1821	109	33:29	12.7	9.9	7.7	4.8	72.7	54.5	2.82	61.5	1.09	54.5	0.91	0.5	1393	0.64	63.6	33.3	2005	3.6	1.71	1.56
NS Challengers	S12	KR	11	36.4%	0.93	1771	-65	31:45	13.7	14.8	4.5	6.7	54.5	27.3	2.55	51.6	1.00	50.0	0.64	-0.2	-890	0.45	38.9	32.1	2147	3.1	1.35	1.44
NYYRIKKI	S12	EUW	5	20.0%	0.61	1682	-264	33:32	11.6	19.0	3.4	9.0	40.0	-	2.00	42.0	0.20	10.0	1.40	-0.8	-2025	0.60	30.0	31.2	2077	3.3	1.20	1.29
Odivelas Sports Club	S12	PT	3	33.3%	0.76	1600	-239	31:18	13.0	17.0	2.7	7.3	33.3	-	1.67	31.7	0.67	50.0	0.33	-1.0	-3674	0.67	33.3	28.6	1694	2.9	1.12	1.34
