,name,season,region,games,win rate,k:d,gold per min,gold diff per min,game duration,kill per game,deaths per game,towers killed,towers lost,first blood rate,first tower rate,dragons per game,dragons %,heralds per game,herald %,avg dragons 15min,tower diff 15min,gold diff 15min,nashor per game,nashor %,cs per min,dmg per min,wards per min,vision wards per min,wards cleared per min
123,Gen.G eSports,S11,KR,116,60.3%,1.20,1813,88,33:49,12.8,10.7,6.7,5.4,59.5,55.2,2.59,56.4,0.96,49.6,0.98,0.0,334,0.84,61.9,34.0,1791,3.9,1.61,1.93
124,Gentlemens Gaming,S11,PL,29,27.6%,0.71,1642,-179,33:03,11.5,16.3,4.2,7.9,37.9,27.6,2.10,42.8,0.55,27.6,0.90,-0.8,-1716,0.55,37.0,29.9,1677,2.9,1.06,1.19
125,GG&Esports,S11,IT,49,49.0%,0.96,1774,2,29:33,13.0,13.5,5.6,5.7,40.8,42.9,1.92,42.3,1.00,55.3,0.77,-0.1,121,0.55,43.6,31.8,1887,2.9,1.05,1.28
126,Godsent,S11,EUW,27,33.3%,0.78,1708,-156,30:51,12.5,16.1,4.2,7.3,37.0,33.3,1.96,43.7,0.81,40.7,0.78,-0.4,-786,0.70,45.4,30.9,1928,2.9,1.14,1.11
127,GOEXANIMO,S11,LT,25,44.0%,0.86,1794,-67,30:49,15.8,18.3,5.8,6.3,40.0,52.0,2.64,57.7,0.56,34.0,1.12,-0.1,-614,0.44,39.6,30.2,2292,2.4,0.82,1.06
128,Golden Guardians,S11,NA,54,27.8%,0.64,1688,-167,33:27,10.3,15.9,4.5,7.6,33.3,42.6,2.37,46.5,0.94,49.1,0.72,-0.3,-393,0.48,29.2,32.3,1842,3.2,1.30,1.54
129,Golden Guardians Academy,S11,NA,78,47.4%,0.94,1751,-53,31:45,13.8,14.7,5.6,6.4,55.1,38.5,2.40,51.7,0.90,45.5,0.97,-0.2,-543,0.72,51.3,31.0,2011,3.5,1.45,1.35
130,Goskilla,S11,LT,38,71.1%,1.42,1911,200,29:45,21.2,14.9,7.3,4.3,57.9,60.5,2.58,64.7,0.82,44.7,1.24,0.5,1917,0.76,63.7,31.3,2386,2.8,0.98,1.24
131,Granit Gaming,S11,EUW,29,41.4%,0.78,1690,-156,33:16,13.1,16.6,4.9,7.8,37.9,44.8,2.38,47.6,0.72,36.2,1.07,-0.3,-1168,0.48,29.0,30.3,1931,3.0,1.02,1.31
132,Gravitas,S11,OCE,35,28.6%,0.66,1656,-214,33:03,13.3,20.2,4.3,7.7,34.3,28.6,1.91,37.7,0.86,42.9,0.91,-0.5,-1576,0.74,36.0,29.4,1864,2.6,0.99,1.07
